snapshot,trainOrder,stop,arrivalTime,departureTime,OccupancyArrival,OccupancyDeparture,occupancyPlatformBeforeArrival,occupancyPlatform,peopleIn,FTB,peopleOut,stops,stops_output,stops_diff,peopleIn_output,peopleIn_diff,peopleIn_diff_abs,peopleIn_diff_perc,peopleIn_diff_perc_2,peopleOut_output,peopleOut_diff,peopleOut_diff_abs,peopleOut_diff_perc,peopleOut_diff_perc_2,FTB_output,FTB_diff,FTB_diff_abs,FTB_diff_perc,FTB_diff_perc_2
2019-12-02,8,SAN ISIDRO,2019-12-02T05:28:29.000Z,2019-12-02T05:30:05.000Z,0.0,235.0,187,280,235.0,45.0,0.0,True,True,False,253.2181,-18.218099999999993,18.218099999999993,7.75238,7.19463,0.0,0.0,0.0,100.0,100.0,64.5944,-19.594399999999993,19.594399999999993,43.54311,30.33452
2019-12-02,8,SAN MIGUELITO,2019-12-02T05:36:53.000Z,2019-12-02T05:37:11.000Z,362.0,404.0,121,123,114.0,9.0,72.0,True,True,False,52.3664,61.6336,61.6336,54.06456,117.69684,75.1993,-3.199299999999994,3.199299999999994,4.44347,4.25443,0.0,9.0,9.0,100.0,100.0
2019-12-02,9,LOS ANDES,2019-12-02T05:41:05.000Z,2019-12-02T05:41:20.000Z,443.0,687.0,333,347,248.0,99.0,4.0,True,True,False,313.682,-65.68200000000002,65.68200000000002,26.48468,20.93904,5.4602,-1.4602000000000004,1.4602000000000004,36.505,26.74261,54.671,44.329,44.329,44.77677,81.08321
2019-12-02,9,PAN DE AZUCAR,2019-12-02T05:42:59.000Z,2019-12-02T05:43:11.000Z,687.0,718.0,70,71,34.0,37.0,3.0,True,True,False,71.0,-37.0,37.0,108.82353,52.11268,2.464,0.536,0.536,17.86667,21.75325,0.0,37.0,37.0,100.0,100.0
2019-12-02,9,SAN MIGUELITO,2019-12-02T05:45:02.000Z,2019-12-02T05:45:32.000Z,718.0,712.0,226,231,152.0,79.0,158.0,True,True,False,171.1211,-19.121100000000013,19.121100000000013,12.57967,11.17402,158.8138,-0.8137999999999863,0.8137999999999863,0.51506,0.51242,53.8789,25.1211,25.1211,31.79886,46.62512
2019-12-02,9,SAN ISIDRO,2019-12-02T05:38:08.000Z,2019-12-02T05:38:29.000Z,0.0,443.0,531,548,443.0,105.0,0.0,True,True,False,493.6114,-50.6114,50.6114,11.4247,10.25329,0.0,0.0,0.0,100.0,100.0,120.983,-15.983000000000004,15.983000000000004,15.2219,13.21095
2019-12-02,10,SAN MIGUELITO,2019-12-02T05:49:05.000Z,2019-12-02T05:49:32.000Z,530.0,556.0,155,159,118.0,41.0,92.0,True,True,False,123.939,-5.938999999999993,5.938999999999993,5.03305,4.79187,97.9969,-5.996899999999997,5.996899999999997,6.51837,6.11948,13.9399,27.0601,27.0601,66.00024,194.11976
2019-12-02,10,SAN ISIDRO,2019-12-02T05:42:11.000Z,2019-12-02T05:42:29.000Z,0.0,261.0,301,323,261.0,62.0,0.0,True,True,False,285.7563,-24.75630000000001,24.75630000000001,9.48517,8.66343,0.0,0.0,0.0,100.0,100.0,72.2268,-10.226799999999997,10.226799999999997,16.49484,14.15929
2019-12-02,10,LOS ANDES,2019-12-02T05:45:02.000Z,2019-12-02T05:45:17.000Z,261.0,482.0,255,268,225.0,43.0,4.0,True,True,False,193.89090000000002,31.109099999999984,31.109099999999984,13.82627,16.04464,4.3208,-0.3208000000000002,0.3208000000000002,8.02,7.42455,36.78,6.219999999999999,6.219999999999999,14.46512,16.91136
2019-12-02,10,PAN DE AZUCAR,2019-12-02T05:46:59.000Z,2019-12-02T05:47:11.000Z,482.0,530.0,55,57,48.0,9.0,0.0,True,True,False,23.0,25.0,25.0,52.08333,108.69565,0.536,-0.536,0.536,100.0,100.0,0.0,9.0,9.0,100.0,100.0
2019-12-02,11,SAN ISIDRO,2019-12-02T05:45:15.000Z,2019-12-02T05:45:54.000Z,0.0,213.0,231,276,213.0,63.0,0.0,True,True,False,238.9736,-25.973600000000005,25.973600000000005,12.19418,10.86882,0.0,0.0,0.0,100.0,100.0,61.2531,1.7468999999999966,1.7468999999999966,2.77286,2.85194
